name,position,element,fixture,oppoine,opponentposition,was_home,difficulty,minutes,starts,goals_scored,assists,ict_index,influence,creativity,threat,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,red_cards,bonus,bps,total_points,value,xP,team_a_score,team_h_score,playerteamposition,penalties_missed,yellow_cards,clean_sheets,goals_conceded,saves,penalties_saved,team
Zack Nelson,MID,734,300,18,8,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,-0.8,1,2,PROMOTED,,0.0,0.0,0.0,,,Unknown
Emiliano Buendía Stati,MID,35,291,20,13,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,57,0.0,0,2,7,,0.0,0.0,0.0,,,Unknown
Marvelous Nakamba,MID,52,300,18,8,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,43,0.0,1,2,PROMOTED,,0.0,0.0,0.0,,,Unknown
Leandro Trossard,MID,26,296,13,1,False,3,18,0,0.0,0.0,2.4,6.2,1.1,17,0.06,0.01,0.07,0.24,0,0,4,1,65,1.3,0,0,2,,0.0,0.0,0.0,,,Unknown
Antony Matheus dos Santos,MID,372,293,4,9,False,4,31,0,0.0,0.0,0.7,2.4,1.3,3,0.02,0.02,0.04,1.04,0,0,1,1,68,1.0,1,1,3,,0.0,0.0,1.0,,,Unknown
Luke Cundle,MID,550,291,2,7,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,0,2,13,,0.0,0.0,0.0,,,Unknown
Ethan Nwaneri,MID,772,296,13,1,False,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,0,0,2,,0.0,0.0,0.0,,,Unknown
Tyler Adams,MID,673,292,9,17,True,5,90,1,0.0,0.0,4.1,22.4,12.5,6,0.0,0.01,0.01,1.12,0,1,21,3,49,1.0,1,2,15,,0.0,0.0,1.0,,,Unknown
Jamie McDonnell,MID,779,298,8,11,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,1,1,16,,0.0,0.0,0.0,,,Unknown
Richarlison de Andrade,MID,509,300,12,PROMOTED,True,5,5,0,0.0,0.0,0.0,0.0,0.1,0,0.0,0.0,0.0,0.03,0,0,2,1,69,1.5,1,2,8,,0.0,0.0,0.0,,,Unknown
Kai Havertz,MID,6,296,13,1,False,3,90,1,0.0,0.0,4.1,7.4,0.8,33,0.33,0.01,0.34,0.95,0,0,2,3,72,8.0,0,0,2,,0.0,1.0,0.0,,,Unknown
Marcus Rashford,MID,396,293,4,9,False,4,79,1,0.0,0.0,5.4,9.8,27.2,17,0.01,0.12,0.13,2.16,0,0,12,3,84,6.0,1,1,3,,0.0,1.0,0.0,,,Unknown
Lewis O'Brien,MID,458,298,8,11,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,49,0.0,1,1,16,,0.0,0.0,0.0,,,Unknown
Yves Bissouma,MID,493,300,12,PROMOTED,True,5,84,1,0.0,0.0,2.9,12.2,14.8,2,0.0,0.02,0.02,0.36,0,0,17,2,50,3.0,1,2,8,,0.0,0.0,1.0,,,Unknown
João Victor Gomes da Silva,MID,559,291,2,7,False,4,83,1,0.0,0.0,2.1,18.0,2.6,0,0.0,0.01,0.01,0.97,0,0,16,2,49,0.8,0,2,13,,0.0,0.0,2.0,,,Unknown
Abdoulaye Doucouré,MID,249,292,3,15,False,5,71,1,0.0,0.0,3.9,9.4,23.1,6,0.0,0.13,0.13,1.56,0,0,4,2,55,1.7,1,2,17,,0.0,0.0,1.0,,,Unknown
Morgan Rogers,MID,803,291,20,13,True,4,62,1,0.0,0.0,1.0,7.6,0.7,2,0.0,0.0,0.0,1.31,0,0,10,3,50,1.7,0,2,7,,0.0,1.0,0.0,,,Unknown
Mohammed Kudus,MID,689,297,15,4,False,3,90,1,1.0,1.0,13.0,69.4,30.1,30,0.28,0.19,0.47,4.07,0,2,50,12,68,5.0,3,4,14,,0.0,0.0,4.0,,,Unknown
Scott McTominay,MID,392,293,4,9,False,4,90,1,0.0,0.0,1.7,12.8,3.1,1,0.03,0.03,0.06,2.6,0,0,6,1,46,1.7,1,1,3,,1.0,0.0,1.0,,,Unknown
Alejandro Garnacho,MID,382,293,4,9,False,4,58,1,0.0,0.0,0.8,3.6,1.9,2,0.0,0.01,0.01,1.55,0,0,1,1,49,4.0,1,1,3,,0.0,0.0,0.0,,,Unknown
Jean-Ricner Bellegarde,MID,715,291,2,7,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,49,0.0,0,2,13,,0.0,0.0,0.0,,,Unknown
Jean-Philippe Gbamin,MID,251,292,3,15,False,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,44,0.0,1,2,17,,0.0,0.0,0.0,,,Unknown
Ollie Harrison,MID,820,294,6,PROMOTED,True,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.5,2,2,12,,0.0,0.0,0.0,,,Unknown
Lewis Dobbin,MID,624,292,3,15,False,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,1,2,17,,0.0,0.0,0.0,,,Unknown
Jenson Metcalfe,MID,760,292,3,15,False,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,1,2,17,,0.0,0.0,0.0,,,Unknown
